File Type,File size(in KB),Battery percentage,Available RAM (In GB),CPU frequency in MHZ,Total Execution Time(in sec)
0,1126.4,24,1.91,482,0.92
0,1126.4,24,1.89,482,1.12
0,1136.64,32,1.85,248,0.85
0,1136.64,32,1.68,248,0.98
0,1146.88,33,1.62,248,0.93
0,1146.88,33,1.79,248,1.06
0,4628.48,33,1.81,586,1.84
0,4628.48,34,1.52,248,1.83
0,5785.6,34,1.63,586,2.3
0,5785.6,34,1.91,248,2.16
0,17305.6,35,1.89,248,4.65
0,17305.6,35,1.52,248,5.1
0,18534.4,36,1.77,248,5.1
0,18534.4,37,1.73,248,4.9
0,19660.8,37,1.82,248,5.36
0,19660.8,37,1.51,586,5.16
0,20889.6,38,1.54,248,5.48
0,20889.6,38,1.64,248,5.5
0,22016,39,1.79,586,5.7
0,22016,39,1.52,248,5.49
0,23244.8,40,1.64,586,5.87
0,23244.8,40,1.85,248,6.01
0,24473.6,40,1.86,482,6.67
0,24473.6,42,1.97,248,0.6
0,25702.4,42,1.98,482,6.92
0,25702.4,42,1.6,248,7.05
0,26828.8,43,1.74,482,7.31
0,26828.8,43,1.75,248,7.24
0,28057.6,43,1.87,248,6.28
0,28057.6,44,1.62,586,7
0,29286.4,45,1.69,586,7.19
0,29286.4,45,1.8,248,7.44
0,30515.2,46,1.92,248,9.01
0,30515.2,46,1.61,248,7.52
0,31744,47,1.71,586,8.17
0,31744,47,1.72,248,7.92
0,32972.8,47,1.82,248,8.1
0,32972.8,47,1.6,248,8.1
0,34201.6,48,1.65,586,8.22
0,34201.6,48,1.78,248,9.53
0,35430.4,45,1.88,482,9.67
0,35430.4,45,1.77,248,10.32
0,36761.6,45,1.92,248,9.86
0,36761.6,46,1.73,586,9.07
0,37990.4,46,1.73,586,9.54
0,37990.4,46,1.96,248,9.93
0,39219.2,47,1.96,248,9.67
0,39219.2,48,1.64,586,9.59
0,40550.4,49,1.93,248,10.37
0,40550.4,49,1.73,482,10.64
0,41779.2,50,1.71,586,11.15
0,41779.2,50,1.83,248,10.71
0,46899.2,50,1.95,248,12.01
0,46899.2,51,1.56,586,11.45
0,48230.4,57,1.88,248,12.07
0,48230.4,57,1.5,586,11.75
0,49459.2,58,1.56,586,11.7
0,49459.2,58,1.86,248,11.87
0,50790.4,58,1.86,248,12.15
0,50790.4,58,1.46,586,12.33
0,52121.6,58,1.62,586,12.39
0,52121.6,58,1.83,248,14.12
0,116736,60,1.96,248,28.31
0,116736,61,1.61,586,27.34
0,234496,61,1.68,586,54.89
0,234496,62,1.89,248,58.87
0,236544,64,1.84,248,57.23
0,236544,64,1.7,248,59.26
0,238592,65,1.72,586,55.24
0,238592,65,1.89,248,56.97
0,239616,66,1.92,248,56.9
0,239616,66,1.55,248,55.13
0,240640,67,1.67,248,55.04
0,240640,67,1.63,248,55.08
0,242688,69,1.63,586,56.31
0,242688,69,1.7,248,60
0,488448,70,1.9,248,114.45
0,488448,70,1.65,248,116.02
0,489472,74,1.85,248,112.41
0,489472,74,1.54,248,114.61
0,490496,76,1.83,586,113.74
0,490496,76,1.63,248,115.48
0,492544,77,1.68,248,115.45
0,492544,78,1.57,248,112.81
0,1382.4,79,1.67,586,1.05
0,1382.4,79,1.63,248,0.33
0,2775.04,81,1.92,586,0.92
0,2775.04,81,1.53,248,1.38
0,4177.92,81,1.72,248,1.58
0,4177.92,81,1.72,482,1.44
1,45.8,78,1.81,248,1.12
1,45.8,78,1.86,248,0.73
1,17.7,79,1.83,248,0.79
1,17.7,79,1.64,586,0.66
1,20.3,79,1.78,586,0.73
1,20.3,79,2.03,248,1.05
1,29.5,79,1.99,248,0.66
1,29.5,79,1.46,482,0.79
1,20.3,79,1.65,248,0.72
1,20.3,79,1.93,248,1.05
1,27.1,79,1.95,482,0.73
1,27.1,79,1.74,586,0.66
1,29.6,80,1.69,586,0.66
1,29.6,80,1.9,352,1.13
1,17.8,80,1.89,352,0.8
1,17.8,80,1.63,352,0.72
1,24.7,80,1.67,248,0.79
1,24.7,80,1.78,248,1.12
1,10,80,1.78,352,0.74
1,10,80,1.59,586,0.66
1,29.5,80,1.65,248,0.66
1,29.5,80,1.91,248,1.05
1,28.1,80,1.89,248,0.66
1,28.1,80,1.58,482,0.67
1,31.2,80,1.62,248,0.59
1,31.2,80,1.83,248,1.12
1,7.41,81,1.97,482,1.31
1,7.41,81,1.59,248,0.66
1,30.9,81,1.77,248,0.66
1,30.9,81,1.79,248,0.99
1,13.6,81,1.79,248,0.67
1,13.6,81,1.52,248,0.66
1,38.8,81,1.65,248,0.73
1,38.8,81,1.74,248,0.79
1,9.47,81,1.74,586,0.67
1,9.47,82,1.62,586,0.66
1,5.2,82,1.68,248,0.66
1,5.2,82,1.8,248,4.83
1,15.4,82,1.76,248,0.99
1,15.4,80,1.84,248,1.05
1,17.8,80,1.76,248,0.66
1,17.8,80,1.79,248,1.11
1,29,80,1.82,248,0.67
1,29,80,1.6,248,0.66
1,17.8,80,1.57,248,0.73
1,17.8,80,1.8,248,0.99
1,4.3,81,1.79,248,0.66
1,4.3,81,1.44,248,0.73
1,14.6,81,1.45,248,0.67
